,ZIP Code,Classification,City,Population,Timezone,Area Code(s)
0,15006,P.O. Box,Bairdford,240,Eastern,724
1,15007,General,Bakerstown,323,Eastern,724
2,15014,General,Brackenridge,"3,184",Eastern,724/878
3,15015,General,Bradfordwoods,"1,175",Eastern,724/412
4,15017,General,Bridgeville,"16,213",Eastern,412
5,15018,General,Buena Vista,821,Eastern,412
6,15020,P.O. Box,Bunola,231,Eastern,412
7,15024,General,Cheswick,"9,029",Eastern,724/412
8,15025,General,Clairton,"15,944",Eastern,412
9,15028,P.O. Box,Coulters,142,Eastern,412
10,15030,General,Creighton,"1,128",Eastern,724/878
11,15031,General,Cuddy,513,Eastern,412
12,15034,General,Dravosburg,"1,792",Eastern,412
13,15035,General,East Mc Keesport,"2,129",Eastern,412
14,15037,General,Elizabeth,"10,894",Eastern,412
15,15044,General,Gibsonia,"27,049",Eastern,724/412/878
16,15045,General,Glassport,"4,483",Eastern,412
17,15046,General,Crescent,"2,640",Eastern,724/412
18,15047,P.O. Box,Greenock,151,Eastern,412
19,15049,General,Harwick,895,Eastern,724
20,15051,General,Indianola,461,Eastern,412
21,15056,General,Leetsdale,"1,140",Eastern,412
22,15064,General,Morgan,382,Eastern,412
23,15065,General,Natrona Heights,"11,588",Eastern,724/878
24,15071,General,Oakdale,"9,956",Eastern,412/724
25,15075,P.O. Box,Rural Ridge,128,Eastern,724/412
26,15076,General,Russellton,849,Eastern,724
27,15082,P.O. Box,Sturgeon,350,Eastern,412/724
28,15084,General,Tarentum,"10,130",Eastern,724
29,15086,General,Warrendale,300,Eastern,724/878
30,15088,P.O. Box,West Elizabeth,535,Eastern,412
31,15090,General,Wexford,"21,202",Eastern,724/878
32,15101,General,Allison Park,"24,292",Eastern,412/724
33,15102,General,Bethel Park,"29,529",Eastern,412
34,15104,General,Braddock,"9,038",Eastern,412
35,15106,General,Carnegie,"18,536",Eastern,412
36,15108,General,Coraopolis,"40,153",Eastern,412
37,15110,General,Duquesne,"5,565",Eastern,412
38,15112,General,East Pittsburgh,"3,292",Eastern,412
39,15116,General,Glenshaw,"14,427",Eastern,412
40,15120,General,Homestead,"18,931",Eastern,412
41,15122,General,West Mifflin,"20,131",Eastern,412
42,15126,General,Imperial,"7,014",Eastern,724/412
43,15129,General,South Park,"10,920",Eastern,412
44,15131,General,Mckeesport,"8,240",Eastern,412
45,15132,General,Mckeesport,"21,472",Eastern,412
46,15133,General,Mckeesport,"6,432",Eastern,412
47,15135,General,Mckeesport,"5,139",Eastern,412
48,15136,General,Mc Kees Rocks,"21,849",Eastern,412
49,15137,General,North Versailles,"10,228",Eastern,412
50,15139,General,Oakmont,"6,307",Eastern,412
51,15140,General,Pitcairn,"3,294",Eastern,412
52,15142,General,Presto,"1,163",Eastern,412
53,15143,General,Sewickley,"19,660",Eastern,412
54,15144,General,Springdale,"4,142",Eastern,724/878
55,15145,General,Turtle Creek,"7,132",Eastern,412
56,15146,General,Monroeville,"28,323",Eastern,412
57,15147,General,Verona,"17,395",Eastern,412
58,15148,General,Wilmerding,"2,814",Eastern,412
59,15201,General,Pittsburgh,"12,713",Eastern,412/724
60,15202,General,Pittsburgh,"19,685",Eastern,412
61,15203,General,Pittsburgh,"9,949",Eastern,412/724
62,15204,General,Pittsburgh,"8,329",Eastern,412
63,15205,General,Pittsburgh,"21,865",Eastern,412
64,15206,General,Pittsburgh,"28,615",Eastern,412
65,15207,General,Pittsburgh,"11,268",Eastern,412
66,15208,General,Pittsburgh,"10,406",Eastern,412
67,15209,General,Pittsburgh,"12,438",Eastern,412/724
68,15210,General,Pittsburgh,"25,954",Eastern,412
69,15211,General,Pittsburgh,"11,081",Eastern,412
70,15212,General,Pittsburgh,"27,895",Eastern,412
71,15213,General,Pittsburgh,"30,844",Eastern,412/724/878
72,15214,General,Pittsburgh,"14,352",Eastern,412
73,15215,General,Pittsburgh,"12,615",Eastern,412
74,15216,General,Pittsburgh,"23,350",Eastern,412
75,15217,General,Pittsburgh,"27,220",Eastern,412
76,15218,General,Pittsburgh,"13,851",Eastern,412
77,15219,General,Pittsburgh,"16,696",Eastern,412/878/724
78,15220,General,Pittsburgh,"17,718",Eastern,412
79,15221,General,Pittsburgh,"31,060",Eastern,412
80,15222,General,Pittsburgh,"3,294",Eastern,412/878/724
81,15223,General,Pittsburgh,"7,236",Eastern,412
82,15224,General,Pittsburgh,"10,141",Eastern,412/724/878
83,15225,General,Pittsburgh,"1,084",Eastern,412
84,15226,General,Pittsburgh,"13,974",Eastern,412
85,15227,General,Pittsburgh,"28,156",Eastern,412
86,15228,General,Pittsburgh,"17,595",Eastern,412
87,15229,General,Pittsburgh,"13,825",Eastern,412
88,15232,General,Pittsburgh,"11,374",Eastern,412/724/878
89,15233,General,Pittsburgh,"4,451",Eastern,412
90,15234,General,Pittsburgh,"14,056",Eastern,412
91,15235,General,Pittsburgh,"34,580",Eastern,412
92,15236,General,Pittsburgh,"29,724",Eastern,412
93,15237,General,Pittsburgh,"41,895",Eastern,412
94,15238,General,Pittsburgh,"13,162",Eastern,412
95,15239,General,Pittsburgh,"21,024",Eastern,412
96,15241,General,Pittsburgh,"20,395",Eastern,412/724
97,15243,General,Pittsburgh,"13,406",Eastern,412/724
